,epoch,precision,recall,matthews_corrcoef,f1
final_hp_batch_16,13.0,0.8216952129995608,0.7584110255370896,0.5749599450645227,0.7887858347386173
final_hp_batch_32,13.0,0.7991452991452992,0.8338062423996757,0.6030122415582456,0.8161079150962112
final_hp_batch_64,13.0,0.8059581320450886,0.8115119578435347,0.5946385335708364,0.8087255099979802
final_hp_loss_BCELoss,13.0,0.789553945863515,0.8394811511957844,0.5942530900096336,0.8137524557956778
final_hp_loss_HingeLoss,13.0,0.7964672822159775,0.8042156465342521,0.5761794958950511,0.800322710770472
final_hp_optimizer_AdamW_0.0005,13.0,0.8140936485859991,0.7117957032833401,0.5321146777857644,0.759515570934256
final_hp_optimizer_Adam_0.0005,13.0,0.7960707269155206,0.821240372922578,0.5888208973230649,0.8084596967278531
final_hp_tweets_inter_0,13.0,0.8215441516412391,0.720308066477503,0.5473006879625805,0.7676025917926566
final_hp_tweets_inter_100,13.0,0.8033818324813212,0.828131333603567,0.6042618491038325,0.8155688622754491
final_hp_tweets_inter_16_32_16,13.0,0.8194706994328923,0.7028779894608836,0.5325837946394958,0.7567095788784639
final_hp_tweets_inter_32_32,13.0,0.7938697318007663,0.8398865018240779,0.600610009808694,0.8162300571203467
final_hp_tweets_inter_64_16,13.0,0.7940512048192772,0.8548844750709363,0.6131181025012672,0.8233456958813196
final_hp_tweets_inter_64_64,13.0,0.7924747866563228,0.828131333603567,0.5892820841591415,0.8099108027750248
final_hp_ui_and_us_X_all_data_no_stats,13.0,0.8120603015075377,0.6550466153222537,0.4915261756008978,0.7251514471617679
final_hp_ui_and_us_X_content_evol_tree_metrics,13.0,0.8076127430699214,0.791244426428861,0.5812624970705363,0.7993447993447993
final_hp_ui_and_us_X_content_evol_tree_metrics_user_stats,13.0,0.7884615384615384,0.7977300364815565,0.5603017757955046,0.7930687084424742
final_hp_ui_and_us_X_tree_metric,13.0,0.8102159468438538,0.7908390758005674,0.5843917371972269,0.8004102564102564
final_hp_ui_and_us_X_user_stats_tree_metrics,13.0,0.8146648672964463,0.7340899878394812,0.5484677504337252,0.7722814498933901
final_hp_ui_and_us_X_us_tm_ce,13.0,0.811377245508982,0.7689501418727199,0.5695105961799817,0.7895941727367326
final_hp_user_feat_ABLATION,13.0,0.7583615182262308,0.8179975678962302,0.5325337448945141,0.7870514820592824
final_hp_user_feat_all_data_no_stats,13.0,0.8078335373317014,0.8025942440210783,0.5902329549077739,0.805205368035787
final_hp_user_feat_content_evol_tree_metrics,13.0,0.7759674134419552,0.7721929468990677,0.5243102315818098,0.7740755790329134
final_hp_user_feat_content_evol_tree_metrics_user_stats,13.0,0.7974082073434126,0.7482772598297527,0.536309445906982,0.7720618987871184
final_hp_user_feat_tree_metric,13.0,0.8047732696897375,0.6834211593027969,0.5013196771414108,0.73914949583516
final_hp_user_feat_user_stats_tree_metrics,13.0,0.8012340237990304,0.7369274422375355,0.5333021279260252,0.7677364864864865
final_hp_user_feat_us_tm_ce,13.0,0.787109375,0.8167815160113499,0.5729423582252445,0.8016709767256813
final_hp_user_inter_0,13.0,0.7740875912408759,0.859748682610458,0.5885983281190923,0.8146725561743805
final_hp_user_inter_64_32,13.0,0.8150483396385035,0.7859748682610458,0.5870272784283925,0.8002476269087908
final_hp_user_inter_64_32_16,13.0,0.8047210300429185,0.7600324280502635,0.5543153596947239,0.7817385866166354
final_hp_user_sim_0,13.0,0.8245441103992114,0.6781516011349817,0.5217917996576774,0.7442170818505338
final_hp_user_sim_100,13.0,0.7966756861229223,0.8354276449128496,0.600911633996958,0.8155916106054609
final_hp_user_sim_64,13.0,0.8020283975659229,0.8013781921361978,0.5815323582567145,0.8017031630170317
